course_code,status,canonical_title,canonical_cus,first_seen,last_seen,edition_count,span_months,college_count,colleges,title_variant_count,title_variants,first_programs,latest_programs
D297,RETIRED,Designing E-Learning Experiences for Adults,3,2022-06,2026-06,49,48,2,School of Education | Teachers College,0,,"Master of Science, Learning Experience Design and Educational Technology [[UNKNOWN]]","Master of Education, Education Technology and Instructional Design [MEDETIDA] | Master of Education, Education Technology and Instructional Design [MEDETID]"
D298,RETIRED,Quality and Impact of Adult E-Learning Solutions,3,2022-06,2026-06,49,48,2,School of Education | Teachers College,1,Quality and Impact of Adult E-Learning,"Master of Science, Learning Experience Design and Educational Technology [[UNKNOWN]]","Master of Education, Education Technology and Instructional Design [MEDETIDA] | Master of Education, Education Technology and Instructional Design [MEDETID]"
D299,RETIRED,Learning Experience Design Lab,3,2022-06,2026-06,49,48,2,School of Education | Teachers College,0,,"Master of Science, Learning Experience Design and Educational Technology | Master of Science, Learning Experience Design and Educational Technology [[UNKNOWN]]","Master of Education, Education Technology and Instructional Design | Master of Education, Education Technology and Instructional Design [MEDETIDA] | Master of Education, Education Technology and Instructional Design [MEDETID]"
D300,RETIRED,Identifying Learner Needs and a Research Problem,3,2022-06,2026-06,49,48,2,School of Education | Teachers College,1,Identifying Learner Needs and a Research,"Master of Science, Learning Experience Design and Educational Technology | Master of Science, Learning Experience Design and Educational Technology [[UNKNOWN]]","Master of Education, Education Technology and Instructional Design | Master of Education, Education Technology and Instructional Design [MEDETIDA] | Master of Education, Education Technology and Instructional Design [MEDETID]"
D301,RETIRED,Developing an E-Learning Solution and Research Methodology,3,2022-06,2026-06,49,48,2,School of Education | Teachers College,1,Developing an E-Learning Solution and,"Master of Science, Learning Experience Design and Educational Technology | Master of Science, Learning Experience Design and Educational Technology [[UNKNOWN]]","Master of Education, Education Technology and Instructional Design | Master of Education, Education Technology and Instructional Design [MEDETIDA] | Master of Education, Education Technology and Instructional Design [MEDETID]"
D302,RETIRED,Implementing and Evaluating E-Learning Solutions,5,2022-06,2026-06,49,48,2,School of Education | Teachers College,1,Implementing and Evaluating E-Learning,"Master of Science, Learning Experience Design and Educational Technology | Master of Science, Learning Experience Design and Educational Technology [[UNKNOWN]]","Master of Education, Education Technology and Instructional Design | Master of Education, Education Technology and Instructional Design [MEDETIDA] | Master of Education, Education Technology and Instructional Design [MEDETID]"
D303,RETIRED,Azure Fundamentals,3,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
D304,RETIRED,Azure DevOps Solutions,3,2022-06,2025-07,38,37,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing – Microsoft Azure track","Bachelor of Science, Cloud Computing - Microsoft Azure track"
D305,RETIRED,Azure Data Engineer,3,2022-06,2025-07,38,37,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing – Microsoft Azure track","Bachelor of Science, Cloud Computing - Microsoft Azure track"
D306,RETIRED,Azure Developer Associate,3,2022-05,2025-07,39,38,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud Computing | Bachelor of Science, Cloud Computing - Microsoft Azure track"
D307,RETIRED,Educational Psychology and Human Development of Children,4,2020-11,2025-02,43,51,2,School of Education | Teachers College,1,Educational Psychology and Human,"Master of Arts in Teaching, Elementary Education | Master of Arts in Teaching, English Education (Secondary) | Master of Arts in Teaching, Mathematics Education (Middle Grades) | Master of Arts in Teaching, Mathematics Education (Secondary)","Master of Arts in Teaching, Mathematics Education (Middle Grades)"
D308,RETIRED,Mobile Application Development (Android),3,2023-01,2026-06,42,41,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Software Engineering [BSSWE]","Bachelor of Science, Software Engineering (BSSWE to MSSWE) | Bachelor of Science, Software Engineering [BSSWE]"
D308A,RETIRED,Mobile Application Development (Android),3,2024-02,2024-08,7,6,2,College of Information Technology | School of Technology,0,,Certificate: Back End Web Development,Certificate: Back End Web Development
D309,RETIRED,Data Wrangling,3,2020-11,2023-07,23,32,1,College of Information Technology,0,,"Bachelor of Science, Data Management/Data Analytics","Bachelor of Science, Data Management/Data Analytics"
D311,RETIRED,Microbiology with Lab: A Fundamental Approach,4,2022-01,2026-06,54,53,2,College of Health Professions | Leavitt School of Health,1,Microbiology with Lab: A Fundamental,"Bachelor of Science, Nursing [BSNU] | Master of Science, Nursing - Education (RN to MSN) | Master of Science, Nursing - Leadership and Management (RN to MSN) | Master of Science, Nursing - Nursing Informatics (RN to MSN)","Bachelor of Science, Health Science | Bachelor of Science, Nursing | Bachelor of Science, Nursing - Prelicensure (Pre-Nursing) | Master of Science, Nursing - Education (RN to MSN)"
