scope,course_code,title,cus,program_count,colleges,programs
AP,C810,Foundations in Healthcare Data Management,3,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C811,Healthcare Financial Resource Management,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C812,Healthcare Reimbursement,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C813,Healthcare Statistics and Research,3,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C815,Quality and Performance Management and,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C816,Healthcare System Applications,4,1,Leavitt School of Health,"Bachelor of Science, Health Information Management"
AP,C833,Chemistry with Lab,3,4,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts Science Education (Secondary Biological Science); Master of Arts Science Education (Secondary Earth Science); Master of Arts Science Education (Secondary Physics)
AP,C845,Information Systems Security,4,1,School of Technology,"Bachelor of Science, Cybersecurity and Information Assurance"
AP,C854,Nursing Informatics Field Experience,4,2,Leavitt School of Health,"Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C855,Nursing Informatics Capstone,2,2,Leavitt School of Health,"Master of Science, Nursing - Nursing Informatics (BSN to MSN); Master of Science, Nursing - Nursing Informatics (RN to MSN)"
AP,C867,Scripting and Programming - Applications,4,2,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS)"
AP,C870,Human Anatomy and Physiology,3,1,School of Education,Master of Arts Science Education (Secondary Biological Science)
AP,C871,"MA, Science Education Teacher Performance",6,5,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts Science Education (Secondary Biological Science); Master of Arts Science Education (Secondary Chemistry); Master of Arts Science Education (Secondary Earth Science); Master of Arts Science Education (Secondary Physics)
AP,C874,"MA, Mathematics Education (5-12) Teacher",6,1,School of Education,Master of Arts in Mathematics Education (Secondary)
AP,C878,Mathematical Modeling and Applications,2,1,School of Education,Master of Arts in Mathematics Education (Secondary)
AP,C880,Algebra for Secondary Mathematics Teaching,2,2,School of Education,Master of Arts in Mathematics Education (Middle Grades); Master of Arts in Mathematics Education (Secondary)
AP,C882,Geometry for Secondary Mathematics,2,1,School of Education,Master of Arts in Mathematics Education (Secondary)
AP,C884,Statistics and Probability for Secondary,2,1,School of Education,Master of Arts in Mathematics Education (Secondary)
AP,C886,Advanced Calculus,2,1,School of Education,Master of Arts in Mathematics Education (Secondary)
AP,C887,"MA, Mathematics Education (5-9) Teacher",6,1,School of Education,Master of Arts in Mathematics Education (Middle Grades)
AP,C889,Molecular and Cellular Biology,3,1,School of Education,Master of Arts Science Education (Secondary Biological Science)
AP,C891,Ecology and Environmental Science,2,3,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts Science Education (Secondary Biological Science); Master of Arts Science Education (Secondary Earth Science)
AP,C893,Geology II: Earth Systems,3,1,School of Education,Master of Arts Science Education (Secondary Earth Science)
AP,C895,Astronomy,2,2,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts Science Education (Secondary Earth Science)
AP,C907,Introduction to Biology,2,2,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts Science Education (Secondary Biological Science)
AP,C908,Integrated Physical Sciences,2,3,School of Education,Master of Arts Science Education (Middle Grades); Master of Arts Science Education (Secondary Chemistry); Master of Arts Science Education (Secondary Physics)
AP,C912,College Algebra,3,1,School of Education,Master of Arts in Mathematics Education (Middle Grades)
AP,C918,Evolving Roles of Nurse Educators in Diverse,2,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
